Routine,Title,Message,Status
SVO,SVO Someone?,"The SVO algorithms convert passive sentences into active ones. When no subject is present (e.g., ""A beautiful car was bought""), a subject is automatically added as Someone?.",OFF
SVO,No SVO records extracted,"The SVO algorithms have not extracted any SVOs. If you have selected to filter Subject and/or Verb, the filtering algorithms may have excluded available records.

You may want to untick either/both checkboxes and try again.",OFF
SVO,CoreNLP gender annotator,The gender annotator is only available for the Stanford CoreNLP package and the English language.,ON
SVO,CoreNLP quote/speaker annotator,The quote/speaker annotator is only available for the Stanford CoreNLP package and the English language.,ON
SVO,GIS geocoder,"After the geocoding and mapping is done, please, check carefully the results. If you are geocoding locations such as Athens or Rome in Georgia, most likely they will be geocoded in Greece and Italy. If you specify the United States as the country bias, the geocoder may select Rome, New York, or Indiana, or Illinois, rather than Georgia. To make sure the geocoded Rome is in Georgia, you may need to edit the geocoded csv file, adding Georgia as the state, e.g., Rome, Georgia.",OFF
SVO,GIS timing,"Beware that geocoding some 30,000 locations via Nominatim and preparing the KML file for map visualization in Goodgle Earth Pro takes approximately 15 minutes on a standard laptop.",OFF
SVO,CoreNLP SVO timing,"Beware that the CoreNLP SVO algorithms on the 296 files (2042312 words total) of the President of the United States Inaugural and State of the Union speeches, takes approximately 1 hour and 20 minutes on a standard laptop.",OFF
SVO,spaCy annotators,"Contrary to Stanford CoreNLP and Stanza, spaCy does not process specific annotators (e.g., POS, NER). Regardless of selected annotator, spaCy will also process the corpus with its full parser.",OFF
style_analysis,NLP setup options,"Some of the algorithms behind this GUI rely on a specific NLP package to carry out basic NLP functions (e.g., sentence splitting, tokenizing, lemmatizing) for a specific language your corpus is written in.

Your selected corpus language is English.
Your selected NLP package for basic functions (e.g., sentence splitting, tokenizing, lemmatizing) is Stanza.

You can always view your default selection saved in the config file NLP_default_package_language_config.csv by hovering over the Setup widget at the bottom of this GUI and change your default options by selecting Setup NLP package and corpus language.",OFF
style_analysis,K sentences repetition finder in CoNLL table,"In the CoNLL table analyzer GUI there is another K-sentences repetition finder algorithm. It provides data based based on the CoNLL table POS tags on counts and proportions of nouns, verbs, adjectives, and proper nouns in the first and last K sentences of a document.",OFF
file-spell-checker,Language detection,"Language detection algorithms are very slow. The NLP Suite runs three different types of algorithms: LANGDETECT, SPACY, and LANGID.

Please, arm yourself with patience, depending upon the number and size of documents processed.

Stanza, contrary to the other algorithms, does not compute the probability of language detection.",OFF
sentiment_analysis,NLP setup options,"Some of the algorithms behind this GUI rely on a specific NLP package to carry out basic NLP functions (e.g., sentence splitting, tokenizing, lemmatizing) for a specific language your corpus is written in.

Your selected corpus language is English.
Your selected NLP package for basic functions (e.g., sentence splitting, tokenizing, lemmatizing) is Stanza.

You can always view your default selection saved in the config file NLP_default_package_language_config.csv by hovering over the Setup widget at the bottom of this GUI and change your default options by selecting Setup NLP package and corpus language.",OFF
sentiment_analysis,Stanford CoreNLP Sentiment Analysis system requirements,"The Stanford CoreNLP Sentiment Analysis tool requires two components.

1. A copy of the FREEWARE Stanford CoreNLP suite installed on your machine. You can download the FREEWARE Stanford CoreNLP at https://stanfordnlp.github.io/CoreNLP/download.html.

2. CoreNLP, in turn, requires to have the FREEWARE Java installed. You can download and install the FREEWARE JAVA at https://www.java.com/en/download/",OFF
file_checker_converter_cleaner,NLP setup options,"Some of the algorithms behind this GUI rely on a specific NLP package to carry out basic NLP functions (e.g., sentence splitting, tokenizing, lemmatizing) for a specific language your corpus is written in.

Your selected corpus language is English.
Your selected NLP package for basic functions (e.g., sentence splitting, tokenizing, lemmatizing) is Stanza.

You can always view your default selection saved in the config file NLP_default_package_language_config.csv by hovering over the Setup widget at the bottom of this GUI and change your default options by selecting Setup NLP package and corpus language.",OFF
NLP_setup_IO,Input/Output options,"The two widgets for INPUT FILE and INPUT DIRECTORY are mutually exclusive. You can select one OR the other but not both. Click on either button to make your selection.

To change an already selected option from FILE to DIRECTORY or from DIRECTORY to FILE, simply click on the button you want to select, make your selection, and the I/O configuration will automatically update.",OFF
NLP_setup_IO,Date options,"Some of the algorithms in the NLP Suite (e.g., GIS models and network models) can build dynamic models (i.e., models that vary with tiime) when time/date is known.

Tick the checkbox, if the filenames in the selected INPUT option embed a date (e.g., The New York Times_12-19-1899), the NLP Suite can use that metadata information to build dynamic models. If that is the case, using the dropdown menu, select the date format of the date embedded in the filename (default mm-dd-yyyy).

Please, enter the character used to separate the date field embedded in the filenames from the other fields (e.g., _ in the filename The New York Times_12-23-1992) (default _).

Please, using the dropdown menu, select the position of the date field in the filename (e.g., 2 in the filename The New York Times_12-23-1992; 4 in the filename The New York Times_1_3_12-23-1992 where perhaps fields 2 and 3 refer respectively to the page and column numbers) (default 2)",OFF
NGrams_CoOccurrences_Viewer,NLP setup options,"Some of the algorithms behind this GUI rely on a specific NLP package to carry out basic NLP functions (e.g., sentence splitting, tokenizing, lemmatizing) for a specific language your corpus is written in.

Your selected corpus language is English.
Your selected NLP package for basic functions (e.g., sentence splitting, tokenizing, lemmatizing) is Stanza.

You can always view your default selection saved in the config file NLP_default_package_language_config.csv by hovering over the Setup widget at the bottom of this GUI and change your default options by selecting Setup NLP package and corpus language.",OFF
CoNLL_table_analyzer,Clause tags with CoreNLP neural network parser,The CoreNLP neural network parser does not produce clause tags in output. The column 'Clause Tag' in the output csv CoNLL table would contain all blank values.,OFF
CoNLL_verb_analysis,CoNLL table - Verb modality,"The categories of Verb modality (Obligation, Will/would, Can/may) computed from the CoNLL table are NOT mutually exclusive. The same verb may appear in several categories.",OFF
coreference,Stanford CoreNLP coreference,"The coreference algorithms in this GUI are based exclusively on Stanford CoreNLP coref annotator.

Watch this space for an extension to spaCy of coreference resolution (Stanza relies on Stanford CoreNLP coreference annotator).",OFF
whats_in_your_corpus,What is in your corpus - Topic modeling,"The topic modeling option requires in input a set of txt documents, rather than a single txt file. The topic modeling option is disabled for single documents.",OFF
topic_modeling,Topic modelling: Number of topics,"You are running the topic modelling algorithm with the default value of 20 topics.

YOU ARE STRONGLY ADVISED to run the algorithm repeatedly with different number of topics (e.g., 50, 40 30, 20, 10). You should then select the number of topics that gives you the best set of topics with no or minimum word overlap across topics. When running Gensim, the topic circles displayed in the Intertopic Distance Map (via multidimensional scaling) should be scattered throughout the four quadrants and should not be overlapping.",OFF
whats_in_your_corpus,What is in your corpus - GIS redundant options,"You are running simultaneously two options that are redundant: ""References to geographical locations (CoreNLP NER)"" under ""What else is in your document(s)?"" and ""GIS (Geographic Information System) pipeline"".

The GIS option has the advantage that it extracts locations via CoreNLP NER annotator and maps them via Google Earth Pro and Google Maps. But... you need to install these freeware software options.",OFF
file_spell_checker,Language detection,"Language detection algorithms are very slow. The NLP Suite runs three different types of algorithms: LANGDETECT, SPACY, and LANGID.

Please, arm yourself with patience, depending upon the number and size of documents processed.

Stanza, contrary to the other algorithms, does not compute the probability of language detection.",OFF
GIS_pipeline,GIS timing,"Beware that geocoding some 30,000 locations via Nominatim and preparing the KML file for map visualization in Goodgle Earth Pro takes approximately 15 minutes on a standard laptop.",OFF
GIS_Google_Maps,Google Maps API,"If the heatmap produced by Google Maps is displayed correctly for a split second and then displays ""Oops! Something went wrong"" you probably:

   1. pasted incorrectly into the API key popup widget the Google API key;
   2. you may not have entered billing information when applying for an API key; billing information is required although it is VERY unlikely you will be charged since you are not producing maps on a massive scale;
   3. you may not have enabled the Maps JavaScript API (and if you use Google for geocoding, you also need to enable the Geocoding API).

Please, check the API key, your billing information, and the API enabled and try again.

PLEASE, read the TIPS_NLP_Google API Key.pdf for help.",OFF
NER,spaCy annotators,"Contrary to Stanford CoreNLP and Stanza, spaCy does not process specific annotators (e.g., POS, NER). Regardless of selected annotator, spaCy will also process the corpus with its full parser.",OFF
spaCy,spaCy annotators,"Contrary to Stanford CoreNLP and Stanza, spaCy does not process specific annotators (e.g., POS, NER). Regardless of selected annotator, spaCy will also process the corpus with its full parser.",OFF
parsers_annotators_visualization,NER tags frequency,"O is likely to be the most frequent NER tag in your corpus. It is likely to 'mask' all other tags. If that is the case, when the chart is displayed you may want to delete the row containing the O tag in the Data worksheet of the Excel chart file to have a better view of all other tags.",ON
NER,NER tags frequency,"O is likely to be the most frequent NER tag in your corpus. It is likely to 'mask' all other tags. If that is the case, when the chart is displayed you may want to delete the row containing the O tag in the Data worksheet of the Excel chart file to have a better view of all other tags.",OFF
Stanford_CoreNLP,CoreNLP sentence length,"The length of the current sentence exceeds 100 words. The average sentence length in modern English is 20 words.

More to the point, Stanford CoreNLP's performance deteriorates with sentences with more that 70/100 words.

You should run the algorithm that extracts all sentences from a corpus and computes sentence length. This will allow you to either edit the sentence manually or perhaps run the algorithm that will add full stops (.) to sentences without end-of-sentence markers (too many sentences of this kind, one after the other, can create unduly long sentences).

On Stanford CoreNLP and memory and performance issues and what to do about them, please, read carefully the TIPS_NLP_Stanford CoreNLP memory issues.pdf.

If you are processing files in a directory, other files may similarly need to be split and the message display may become annoying.",OFF
NLP_menu,NLP Suite architecture & filenames,"The Python scripts in the NLP Suite have filenames that clearly identify the Suite architecture.

The filename suffix designates two different types of files: _main and _util.

_main files are the only ones that you can run in command line independently of others; they may call _util files.

The _main files, with their GUI options, lay out on the screen the widgets of a script for easy Graphical User Interface (GUI).

ALL SCRIPTS SUFFIXED BY _main CAN BE RUN INDIPENDENTLY OF THE NLP SUITE. Thus on command line you can type
Python knowledge_graphs_main.py
and it will fire up the annotator GUI independently of NLP_main.py.

The filename prefix cluster together scripts used for the same purpose. Thus annotator identifies all files dealing with html annotation.",OFF
Stanford_CoreNLP,CoreNLP NER annotator timing,"Beware that the CoreNLP NER annotator on the 296 files (2042312 words total) of the President of the United States Inaugural and State of the Union speeches, takes approximately 50 minutes on a standard laptop.",OFF
Stanford_CoreNLP,CoreNLP POS/NER max sentence length,"The CoreNLP POS/NER annotators set a maximum sentence length for processing.

Sentences longer than your selected max length will be cut and some POS/NER tags in those long sentences may be lost.",OFF
topic_modeling,English language & Gensim topic modeling,Gensim topic modeling is only available for texts in the English language.,OFF
knowledge_graphs_WordNet,WordNet VERB aggregation,"CAVEAT!

For VERBS, the aggregated 'stative' category includes the auxiliary 'be' probably making up the vast majority of stative verbs. Similarly, the category 'possession' include the auxiliary 'have' (and 'get'). You may wish to exclude these auxiliary verbs from frequencies.

The WordNet_UP function will automatically compute VERB frequencies with/without auxiliaries and display both Excel charts.",OFF
Stanford_CoreNLP,CoreNLP neural network parser timing,"Beware that the CoreNLP neural network parser algortithm on the 296 files (2042312 words total) of the President of the United States Inaugural and State of the Union speeches, takes approximately 1 hour and 40 minutes on a standard laptop.",OFF
Stanford_CoreNLP,Clause tags with CoreNLP neural network parser,The CoreNLP neural network parser does not produce clause tags in output. The column 'Clause Tag' in the output csv CoNLL table would contain all blank values.,OFF
parsers_annotators,CoreNLP NER tags,"The CoNLL table produced by the CoreNLP parser has a record for each token in the document(s) processed.

If you are planning to produce frequency distributions of NER tags directly from the CoNLL table, you need to remember that tags such as 'Date' or 'City' may be grossly overestimated. For instance, in the expression 'the day before Christmas' each word 'the,' 'day,' 'before,' 'Christmas' will be tagged as NER date. The same is true for NER CITY tags such as 'New York City.'

A better way to obtain frequency distributions of NER values is to run the NER annotators from the 'Stanford_CoreNLP_NER_main.py.'",OFF
knowledge_graphs_WordNet_config.csv,English language & WordNet,WordNet is only available for texts in the English language.,OFF
*,Excel Charts,"The Excel chart to be displayed has hover-over effects (i.e., when you hover the mouse over chart points some information will be displayed).

First, hover-over charts are based on Excel macros. You need to enable macros in Excel to view the chart (read the TIPS file on how to do this).

Second, if the Excel chart has nothing in it or chart titles are not displayed, you need to hover the mouse over the chart area to display the chart properly. That is how hover-over charts work.

Third, if the chart is displayed but the bars of a bar chart, for instance, have the same height, contrary to expectations, click on Data then on Chart to display the chart properly.",OFF
SVO,Stanford CoreNLP coref merged files,"The Stanford CoreNLP coref annotator with a corpus of files in a directory in input will create a merged corefed file (with filenames embedded in <@# #@>) in output.

Manual coreference resolution will not be available; depending upon the number of files merged, bringing the files into memory for manual editing may exceed memory capacity. You can always
   1. manually edit the merged file anyway using the 'coreference_main' GUI;
   2. split the merged file and then edit the individual coreferenced files, again, using the 'coreference_main' GUI.",OFF
Stanford_CoreNLP,CoreNLP SVO timing,"Beware that the CoreNLP SVO algorithms on the 296 files (2042312 words total) of the President of the United States Inaugural and State of the Union speeches, takes approximately 1 hour and 20 minutes on a standard laptop.",OFF
Stanford_CoreNLP,CoreNLP SVO + gender + quote timing,"Beware that the CoreNLP SVO + gender + quote algorithms on the 296 files (2042312 words total) of the President of the United States Inaugural and State of the Union speeches, takes approximately 4 hours on a standard laptop.",ON
Stanford_CoreNLP,CoreNLP quote annotator,"The CoreNLP quote annotator works with double quotes as default "" rather than with single quotes '. If your document(s) use single quotes for dialogue, make sure to tick the checkbox 'Include single quotes'. The Stanford CoreNLP annotator will then process BOTH single AND double quotes, otherwise single quotes for dialogues would be missed (e.g., The user said: 'This NLP Suite sucks.').",ON
file_splitter_ByLength,CoreNLP split files,"Stanford CoreNLP has a limit of 100,000 characters maximum text size.

The input file was automatically split into chunks smaller than 100K characters size, fed to Stanford CoreNLP and the output recomposed into a single file.

Split files are created in a sub-folder named ""split_files"" inside the directory where the input txt files are located, regardless of the choice of output directory.

If you are processing files in a directory, other files may similarly need to be split and the message display may become annoying.",OFF
Stanford_CoreNLP,% sign in file,"The file contains % sign. This will break Stanford CoreNLP annotators. The % sign was temporarily replaced with ""percent"" for processing. But... you should run the script ""Convert non-ASCII apostrophes & quotes and % to percent"" to change the sign permanently.",OFF
NLP_default_IO,DepRel tags frequency,"punct (punctuation) and det (determiner/article) are likely to be the most frequent DepRel tags in your corpus. It is likely to 'mask' all other tags. If that is the case, when the chart is displayed you may want to delete in the Data worksheet of the Excel chart file the rows containing the 'punct' and 'det' tags to have a better view of all other tags.",OFF
NLP_default_IO,NER tags frequency,"O is likely to be the most frequent NER tag in your corpus. It is likely to 'mask' all other tags. If that is the case, when the chart is displayed you may want to delete the row containing the O tag in the Data worksheet of the Excel chart file to have a better view of all other tags.",OFF
statistics_txt,Open TIPS file,"You will be asked next if you want to open a TIPS file for help.

If you do not want to be asked again to open the TIPS file, just hit 'No' below.",OFF
statistics_txt,Line length,"Line length only makes sense for poetry or song lyrics (or perhaps for newspaper articles to gauge the importance of the article by the column width).

For your typical document line length depends on the vaguaries of typesetting and sentence length may provide a better measure of style.",OFF
file_search_byWord,NLP setup options,"Some of the algorithms behind this GUI rely on a specific NLP package to carry out basic NLP functions (e.g., sentence splitting, tokenizing, lemmatizing) for a specific language your corpus is written in.

Your selected corpus language is English.
Your selected NLP package for basic functions (e.g., sentence splitting, tokenizing, lemmatizing) is Stanza.

You can always view your default selection saved in the config file NLP_default_package_language_config.csv by hovering over the Setup widget at the bottom of this GUI and change your default options by selecting Setup NLP package and corpus language.",OFF
Stanford_CoreNLP,CoreNLP POS annotator timing,"Beware that the CoreNLP POS annotator on the 296 files (2042312 words total) of the President of the United States Inaugural and State of the Union speeches, takes approximately 2 minutes on a standard laptop.",OFF
file_splitter_ByLength,Output directory of split files,"This is a reminder that all file splitter scripts save the split files inside a subdirectory by the name of split_files of the directory where the input txt files are located, regardless of the choice of output directory.",OFF
data_manipulation,Merge option,"Please, click next the + sign on this line to select another KEY to be used for merging files or click OK to accept current selection.",OFF
whats_in_your_corpus,What is in your corpus - Topic modeling Gensim,"The Gensim topic modeling routine run from here is a reduced version of the script, meant to provide a quick overview of the topics in your corpus.

For a more in-depth analysis of topics, use the topic modeling scripts for Gensim and MALLET.",ON
whats_in_your_corpus,NER tags frequency,"O is likely to be the most frequent NER tag in your corpus. It is likely to 'mask' all other tags. If that is the case, when the chart is displayed you may want to delete the row containing the O tag in the Data worksheet of the Excel chart file to have a better view of all other tags.",OFF
parsers_annotators,NER tags frequency,"O is likely to be the most frequent NER tag in your corpus. It is likely to 'mask' all other tags. If that is the case, when the chart is displayed you may want to delete the row containing the O tag in the Data worksheet of the Excel chart file to have a better view of all other tags.",OFF
parsers_annotators,DepRel tags frequency,"punct (punctuation) and det (determiner/article) are likely to be the most frequent DepRel tags in your corpus. It is likely to 'mask' all other tags. If that is the case, when the chart is displayed you may want to delete in the Data worksheet of the Excel chart file the rows containing the 'punct' and 'det' tags to have a better view of all other tags.",OFF
word2vec,Word2Vec HTML visual,"The Word2Vec HTML visual may be very messy.

Depending upon the number of words displayed, it will be impossible to see anything but a black blotch.

If that happens, with your mouse, draw an area you want to focus on in the Cartesian plane where the image is displayed. It will re-displayed with a much clearer focus. You can repeat that operation in the new display to further zoom in.

YOU CAN GO BACK TO THE ORIGINAL DISPLAY BY CLICKING THE REFRESH BUTTON IN YOUR BROWSER.",OFF
word2vec,Word2Vec Eucledian distance,The Word2Vec algorithms compute the Eucledian distance of every word with every other word for the 10 most frequent words. You can use this csv file to locate the most significant words in the Cartesian space.,OFF
sentiment_analysis,VADER Sentiment Analysis system requirements,"VADER heavily relies on a number of NLTK libraries. If VADER fails to run, make sure that in command line you run

python -m nltk.downloader all",OFF
sentiment_analysis,VADER Mean/Median,"VADER cannot compute sentence mean and median values because VADER computes a single compound value for the entire sentence.

Use the hedonometer algorithm to compute separate values and word list of words found.",ON
sentiment_analysis,SentiWordNet,SentiWordNet does not compute sentence mean and median values nor does it display a list of the individual words found.,ON
