word,n_ratings,n,prop_known,rating,rating_sd
addict,15,15,1,2,1.5583874449479591
addicted,10,10,1,3.2,2.043961295567452
addiction,10,10,1,4.4,2.1186998109427604
addictive,10,10,1,4.4,1.8973665961010275
addition,11,11,1,3.727272727272727,1.7939291563999449
additive,11,11,1,4.454545454545454,1.8090680674665818
address,10,10,1,3,1.5634719199411433
adept,12,13,0.9230769230769231,3.0833333333333335,1.5050420310248864
adequacy,12,12,1,2.1666666666666665,1.3371158468430429
adequate,10,10,1,2.8,1.1352924243950935
adhere,10,10,1,3.8,1.9321835661585918
adherence,10,10,1,3.5,2.1213203435596424
adhesive,10,10,1,2.7,2.2135943621178655
adjective,10,10,1,2.1,1.1972189997378648
adjoin,12,12,1,3.6666666666666665,2.1461734799546393
adjust,10,10,1,2.8,1.9321835661585918
adjustable,10,10,1,3.2,1.6193277068654826
adjustment,10,10,1,3.3,1.4944341180973264
administer,11,11,1,4,1.5491933384829668
administrable,11,11,1,2.727272727272727,1.9021518914592015
administration,13,13,1,3.1538461538461537,2.034951016861497
admirable,10,10,1,4.3,1.766981104093143
admiral,10,10,1,2.6,1.3498971154211057
admiration,11,11,1,3.5454545454545454,1.8090680674665818
admire,11,11,1,4,2
admiring,10,10,1,2.4,1.3498971154211057
admissible,10,10,1,2.4,1.0749676997731399
admission,10,10,1,3,1.8856180831641267
admit,10,10,1,3.5,2.068278940998476
admittance,10,10,1,3.1,1.449137674618944
admittedly,11,11,1,3.090909090909091,1.6403990645294488
admonish,10,11,0.9090909090909091,3.6,1.7126976771553504
adolescence,10,10,1,2.3,1.8287822299126937
adolescent,10,10,1,2.9,1.728840330651992
adopt,11,11,1,3.090909090909091,1.3751033019046572
adoptable,10,10,1,3.5,1.509230856356236
adoption,10,10,1,2.9,1.728840330651992
adoptive,10,10,1,2.9,1.5951314818673865
adorable,14,14,1,3.9285714285714284,2.3026501693044477
adoration,10,10,1,3.3,2.0027758514399734
adore,10,10,1,3.5,1.8408935028645435
adorn,10,10,1,2.9,1.728840330651992
adrenaline,15,15,1,3.4,2.0632844828435215
adult,10,10,1,2.6,1.837873166945363
adulterer,11,11,1,3.272727272727273,2.3276988246295565
adulterous,11,11,1,3.6363636363636362,2.062654952856986
adultery,10,10,1,3.2,2.2010098692292237
advance,17,17,1,4.235294117647059,1.7863864281247313
advanced,11,11,1,2.727272727272727,1.7372915179041823
advancement,10,10,1,3.4,2.6749870196985173
advantage,11,11,1,3.909090909090909,1.868397465987655
advantageous,10,10,1,3.8,2.043961295567452
advent,11,12,0.9166666666666666,2.6363636363636362,1.2862913567871994
adventure,11,11,1,3.909090909090909,2.2115399817568506
adventurer,11,11,1,5.090909090909091,1.2210278829367867
adventuresome,10,10,1,3.6,1.837873166945363
adventurous,12,12,1,3.8333333333333335,2.1672493389016636
adverb,10,10,1,2.4,1.6465452046971292
adversary,10,10,1,3.6,1.3498971154211057
adverse,10,11,0.9090909090909091,2.8,1.8737959096740262
adversity,11,11,1,2.727272727272727,1.954016841836789
advertise,11,11,1,2.3636363636363638,1.2862913567871994
advertisement,11,11,1,4.090909090909091,2.2115399817568506
advice,10,10,1,4.1,1.1972189997378648
advisable,10,10,1,3.4,2.065591117977289
advise,11,11,1,2.8181818181818183,1.9908883353006928
advised,11,11,1,3.909090909090909,1.9211738835693897
advisedly,10,12,0.8333333333333334,2.7,1.888562063228706
adviser,10,10,1,3.9,1.5951314818673865
advisory,10,10,1,2.7,1.5670212364724212
aerial,13,13,1,3.3076923076923075,2.0970064133034736
aerobic,10,10,1,4,1.247219128924647
aerosol,10,10,1,3.7,1.70293863659264
aesthetical,10,10,1,3.9,1.5238839267549948
aesthetically,10,10,1,2.9,2.1317702607092643
aestheticism,10,11,0.9090909090909091,3.3,1.8287822299126937
affable,12,12,1,3.4166666666666665,1.5050420310248864
affair,10,10,1,2.7,1.4944341180973264
affect,10,10,1,3.4,1.837873166945363
affecting,12,12,1,3.25,1.864744681524183
affection,10,10,1,3.1,2.0789954839350235
affectionate,13,13,1,3.5384615384615383,1.8980421761815787
affective,11,11,1,3.5454545454545454,2.621588692515909
affiliate,13,13,1,2.6923076923076925,1.8432134703923735
affirmation,10,11,0.9090909090909091,3.2,2.0976176963403033
afflict,11,12,0.9166666666666666,2.727272727272727,2.2401298663653004
affliction,11,11,1,3.6363636363636362,1.9116865471476894
affluent,13,13,1,3.8461538461538463,1.5191090506254998
afford,12,12,1,3.1666666666666665,1.8504708655481243
affordable,10,10,1,4.2,2.1499353995462798
affront,10,11,0.9090909090909091,2.2,1.3165611772087666
afloat,11,11,1,4.363636363636363,1.689540012709215
afore,11,12,0.9166666666666666,2.4545454545454546,1.5075567228888183
afraid,10,10,1,3.6,2.270584848790187
African,10,10,1,4.7,2.6687491868330793
after,10,10,1,2.8,1.7511900715418263
afterbirth,11,11,1,4.454545454545454,2.1616492020508953
afterlife,10,10,1,5.1,1.728840330651992
aftermath,17,17,1,3.1176470588235294,1.8331105033922692
afternoon,10,10,1,3.6,2.5473297566057065
aftershave,10,10,1,4.7,1.888562063228706
aftertaste,10,10,1,4.1,1.9692073983655907
again,13,13,1,1.8461538461538463,0.9870962335856491
against,10,10,1,3,2.160246899469287
age,10,10,1,3.3,2.057506581601462
ageless,10,10,1,3.5,2.6352313834736494
agency,10,10,1,3.1,1.5951314818673865
agenda,10,10,1,2.5,1.8408935028645435
agent,10,10,1,3.3,1.4181364924121764
agglomerate,13,14,0.9285714285714286,2.769230769230769,2.006400016357911
aggravate,10,10,1,4.2,2.1499353995462798
aggravation,10,10,1,4.3,1.5670212364724212
aggregate,10,10,1,1.9,0.7378647873726218
aggression,10,10,1,3.3,1.766981104093143
aggressive,12,12,1,3.9166666666666665,1.9752253419585197
aggressor,10,10,1,4.1,1.5951314818673865
aggrieve,10,12,0.8333333333333334,2.9,1.9692073983655907
aggrieved,10,10,1,2.9,1.286683937707919
agile,11,11,1,3.909090909090909,2.0225995873897262
agility,10,10,1,3,1.5634719199411433
agitate,11,11,1,3.6363636363636362,1.9632996344280855
agitation,10,10,1,3.7,1.946506842754191
agnostic,10,11,0.9090909090909091,4.2,2.1499353995462798
ago,10,11,0.9090909090909091,2.9,2.183269719175042
agonistic,10,10,1,3.2,1.4757295747452437
agonize,10,10,1,4.4,1.429840705968481
agonizing,10,10,1,4.1,1.7919573407620817
agony,10,10,1,3.3,1.5670212364724212
agree,11,11,1,3.8181818181818183,2.3159525823376357
agreeable,10,10,1,4.1,2.183269719175042
agreed,10,10,1,3.6,2.0110804171997807
agreement,11,11,1,4.090909090909091,1.9211738835693897
agriculture,10,10,1,3.6,2.1705094128132942
ahead,12,12,1,4.083333333333333,2.1933093855190746
ahem,15,15,1,6,1.7728105208558367
aid,11,11,1,4.454545454545454,1.6348477827391983
aide,10,10,1,3.4,1.6465452046971292
ailing,11,11,1,2.909090909090909,1.6403990645294488
ailment,11,11,1,4.7272727272727275,1.618079669911781
aim,14,14,1,3.857142857142857,1.8752289237539816
aimless,10,10,1,3,2.1081851067789197
air,10,10,1,3.3,2.406010991015812
airborne,11,11,1,3.8181818181818183,2.1362669223756576
aircraft,10,10,1,3.9,2.5582111805799856
airfield,17,17,1,3.588235294117647,2.265469695488437
airflow,10,10,1,3.8,2.3944379994757297
airlift,11,11,1,4.454545454545454,1.916436086262016
airline,10,10,1,3.1,2.330951164939612
airplane,10,10,1,3.3,2.0027758514399734
airport,10,10,1,4.3,2.057506581601462
airstrip,11,11,1,3.727272727272727,2.2401298663653004
airway,10,10,1,4.6,1.6465452046971292
aisle,11,11,1,3.272727272727273,1.6787441193290353
alarm,10,10,1,4.6,1.429840705968481
alarming,10,10,1,5.1,2.0789954839350235
alas,10,10,1,2.2,1.2292725943057183
albeit,10,11,0.9090909090909091,4,1.8257418583505538
albino,11,11,1,3.3636363636363638,2.1105794120443453
album,10,10,1,2.1,1.3703203194062976
alcohol,11,11,1,3.090909090909091,1.5782614139961386
alcoholic,10,10,1,3.5,1.5811388300841898
alcoholism,10,10,1,4.4,2.5473297566057065
alcove,10,11,0.9090909090909091,4.4,1.8973665961010275
ale,10,10,1,2.6,1.577621275493231
alert,13,13,1,4.230769230769231,1.589226549501683
alfalfa,10,10,1,3.2,1.8135294011647258
algae,10,10,1,1.9,1.286683937707919
algebra,10,10,1,2.6,1.776388345929897
alias,10,10,1,2.8,1.6865480854231356
alien,10,10,1,3.9,2.1317702607092643
alienable,11,11,1,3.4545454545454546,2.018099916438052
alienate,10,10,1,4.2,1.7511900715418263
alienation,10,10,1,3.4,2.1705094128132942
align,10,10,1,4.3,2.0027758514399734
alike,11,11,1,4.090909090909091,2.0714509627092528
alive,10,10,1,3.7,1.946506842754191
alkaline,10,12,0.8333333333333334,2.4,1.6465452046971292
all,10,10,1,3.4,2.3664319132398464
allegation,11,11,1,2.5454545454545454,1.8090680674665818
allege,9,10,0.9,2.888888888888889,1.536590742882148
alleged,11,11,1,2.5454545454545454,1.3684762594679065
allegedly,10,10,1,2.6,1.837873166945363
allegiance,11,11,1,2.727272727272727,1.009049958219026
allegorical,10,10,1,2.1,1.1972189997378648
allegory,11,11,1,1.9090909090909092,0.8312094145936335
allergic,10,10,1,3.1,2.2335820757001272
allergy,11,11,1,2.6363636363636362,1.5015143870590966
alleviate,10,10,1,3.1,1.9692073983655907
alley,11,11,1,3.3636363636363638,2.2482316283126735
alliance,10,10,1,3.3,1.888562063228706
allied,10,10,1,3.4,1.776388345929897
allies,10,10,1,3.7,1.888562063228706
alligator,11,11,1,3.5454545454545454,1.8090680674665818
allocable,10,12,0.8333333333333334,2.2,1.7511900715418263
allocate,12,12,1,3.3333333333333335,2.0150945537631877
allow,10,10,1,4.1,2.2335820757001272
allowable,10,10,1,3.8,1.6193277068654826
allowance,10,10,1,3.8,2.043961295567452
allude,11,11,1,3.727272727272727,1.8488325554743508
allure,10,10,1,3.2,1.6193277068654826
alluring,10,11,0.9090909090909091,4.1,1.728840330651992
allusion,10,10,1,4.6,1.776388345929897
allusive,10,10,1,2.8,1.8135294011647258
ally,10,10,1,3.9,1.911950719959998
almighty,11,11,1,4.909090909090909,1.9725387425622574
almond,12,12,1,3.0833333333333335,2.108783937953269
almost,13,13,1,3.3076923076923075,2.0568833780186058
aloe,10,10,1,4.3,2.359378449224852
aloha,10,10,1,4.2,2.1499353995462798
alone,10,10,1,3.3,1.888562063228706
along,11,11,1,2.6363636363636362,2.062654952856986
aloof,10,10,1,4.8,1.1352924243950935
aloud,10,10,1,4.5,1.509230856356236
alpaca,11,11,1,3.5454545454545454,2.2074254852038093
alpha,11,11,1,4.454545454545454,2.423371055519
alphabet,10,10,1,2.8,2.3944379994757297
alphabetical,16,16,1,3.0625,2.1437894797142123
already,12,12,1,3.0833333333333335,1.781640374554423
also,10,10,1,3.2,1.6193277068654826
altar,10,10,1,2.5,1.6499158227686108
alter,10,10,1,2.9,1.9692073983655907
alteration,10,10,1,2.7,1.3374935098492586
altercation,10,10,1,3.7,1.8287822299126937
alternate,12,12,1,3.9166666666666665,1.781640374554423
alternative,11,11,1,4.2727272727272725,2.2843339988236875
although,10,10,1,2.9,1.728840330651992
altitude,10,11,0.9090909090909091,3.1,1.728840330651992
altruism,12,13,0.9230769230769231,2.3333333333333335,1.6696942198734437
altruistic,10,10,1,2.8,2.043961295567452
aluminum,10,10,1,3.5,2.068278940998476
always,13,13,1,2.6153846153846154,1.8946618668626838
am,13,13,1,2.230769230769231,1.8776690404970269
amaretto,11,11,1,2,1.61245154965971
amass,10,11,0.9090909090909091,3,2
amateur,12,12,1,2.25,1.6583123951777
amateurish,10,10,1,2.8,2.043961295567452
amateurism,11,11,1,2.090909090909091,1.8140862964338524
amaze,12,12,1,3.5,1.7837651700316894
amazed,10,10,1,3.9,2.1317702607092643
amazement,10,10,1,3,1.4907119849998598
amazing,11,11,1,4.545454545454546,2.1616492020508953
ambassador,10,10,1,3.4,1.6465452046971292
amber,11,11,1,3.4545454545454546,2.2074254852038093
ambience,10,11,0.9090909090909091,3.7,2.057506581601462
ambient,14,15,0.9333333333333333,3.4285714285714284,1.3985864135061359
ambiguity,10,10,1,3.3,1.8287822299126937
ambiguous,10,10,1,2.3,1.5670212364724212
ambition,11,11,1,3.3636363636363638,1.6292775867068985
ambitious,10,10,1,3.2,1.8737959096740262
amble,10,11,0.9090909090909091,2.7,1.946506842754191
ambulance,10,10,1,2.3,1.1595018087284057
ambush,11,11,1,4.2727272727272725,1.2720777563426766
amen,10,10,1,3,1.3333333333333333
amendatory,10,12,0.8333333333333334,2,1.5634719199411433
amendment,11,11,1,3.6363636363636362,2.157439559882375
amends,12,12,1,3.5,2.3159525823376357
America,10,10,1,5,2.449489742783178
American,11,11,1,5.090909090909091,2.5081684733903127
Americanize,10,10,1,4.9,1.449137674618944
amiable,10,11,0.9090909090909091,2.8,2.0976176963403033
amicable,10,11,0.9090909090909091,3.6,1.9550504398153574
amidst,10,10,1,3.6,1.837873166945363
amiss,10,10,1,4.1,1.9692073983655907
ammo,10,10,1,4.1,2.1317702607092643
ammonia,10,11,0.9090909090909091,3.2,1.8737959096740262
ammunition,10,10,1,2.5,1.6499158227686108
amnesia,10,10,1,3,2
amnesty,10,10,1,2.3,1.70293863659264
among,10,10,1,3.3,2.0027758514399734
amongst,11,11,1,2.4545454545454546,1.6348477827391983
amoral,10,12,0.8333333333333334,3.5,1.8408935028645435
amorous,11,12,0.9166666666666666,3.3636363636363638,1.9116865471476894
amount,11,11,1,2.909090909090909,1.4459976109624424
amour,10,10,1,3.3,2.110818693198342
amp,11,11,1,4.909090909090909,1.9725387425622574
amphibian,10,10,1,2.4,1.8973665961010275
amplifier,10,10,1,3.6,1.3498971154211057
amplify,10,10,1,4.3,1.4944341180973264
amplitude,10,10,1,3.3,2.359378449224852
amputate,11,11,1,4.090909090909091,1.5782614139961386
amputee,12,12,1,3.3333333333333335,2.188122205883115
amuck,13,15,0.8666666666666667,4.846153846153846,1.6756169931378433
amuse,12,12,1,2.5833333333333335,1.3113721705515067
amused,10,10,1,2.9,1.911950719959998
amusement,12,12,1,3.0833333333333335,1.729862492345632
amusing,13,14,0.9285714285714286,4.076923076923077,1.8912755158683456
an,10,10,1,2.6,2.590581230363393
anaconda,12,12,1,4.5,1.9771421064483223
anagram,11,11,1,2.727272727272727,1.7372915179041823
anal,10,10,1,3.5,2.1213203435596424
analogical,10,11,0.9090909090909091,3.3,1.8287822299126937
analogous,10,10,1,2.5,2.0138409955990952
analogy,10,10,1,2.6,1.837873166945363
analyse,12,12,1,3.9166666666666665,1.781640374554423
analysis,10,10,1,3,1.5634719199411433
analyst,10,10,1,3.8,2.1499353995462798
analytic,10,10,1,4.1,1.911950719959998
analyze,11,11,1,3.5454545454545454,2.1616492020508953
anarchic,10,10,1,3.5,2.223610677354389
anarchist,10,10,1,4.6,2.0110804171997807
anarchy,11,11,1,3.272727272727273,1.6787441193290353
anatomy,10,11,0.9090909090909091,4,2.1081851067789197
ancestor,10,10,1,3.4,1.9550504398153574
ancestral,10,10,1,3.2,1.6193277068654826
ancestry,10,10,1,3.5,2.4608038433722332
anchor,11,11,1,3.8181818181818183,1.834021909257456
anchorman,10,10,1,2.9,1.5238839267549948
anchovy,12,13,0.9230769230769231,2.5,1.243163121016122
ancient,10,10,1,2.8,2.2010098692292237
and,10,10,1,2,2
anecdote,16,16,1,3,1.4142135623730951
anemia,10,10,1,2.8,1.5491933384829668
anemic,10,11,0.9090909090909091,2.5,2.1213203435596424
aneurysm,11,12,0.9166666666666666,2.4545454545454546,1.2135597524338357
anew,10,10,1,3.2,2.2010098692292237
angel,12,12,1,3.5,1.7837651700316894
angelic,10,10,1,3.9,1.7919573407620817
anger,10,10,1,3.4,2.3190036174568114
angle,10,10,1,4.6,1.577621275493231
angry,10,10,1,3.9,2.1317702607092643
angst,10,11,0.9090909090909091,3.4,1.9550504398153574
anguish,10,10,1,3.9,2.1317702607092643
anguished,10,11,0.9090909090909091,3.6,1.429840705968481
angular,10,10,1,3.6,1.9550504398153574
animal,12,12,1,3.0833333333333335,1.729862492345632
animate,12,12,1,3.1666666666666665,1.4668044012461754
animated,10,10,1,3.6,1.7126976771553504
animation,10,10,1,4.8,1.8135294011647258
animosity,11,11,1,3.727272727272727,1.555050423035156
ankle,11,11,1,2.727272727272727,1.555050423035156
anklet,10,10,1,4.2,2.485513584307633
annals,10,10,1,2.3,1.1595018087284057
annihilate,10,10,1,4.3,2.110818693198342
annihilation,10,10,1,4.7,2.0027758514399734
anniversary,11,11,1,2.8181818181818183,2.3587361793206894
announce,12,12,1,3.4166666666666665,1.9286515936521478
announcer,11,11,1,3.727272727272727,2.195035721390843
annoy,11,11,1,4.818181818181818,1.662418829187267
annoyance,10,10,1,3.5,1.7159383568311668
annoyed,10,10,1,3.9,1.911950719959998
annoying,11,11,1,4.7272727272727275,1.8488325554743508
annual,10,10,1,3,1.8257418583505538
anoint,12,14,0.8571428571428572,2.75,1.6583123951777
anomaly,10,10,1,3.6,1.2649110640673518
anorexia,10,10,1,3.1,2.2335820757001272
anorexic,12,12,1,2.75,2.137330535547045
another,10,10,1,3.6,1.8973665961010275
answer,10,10,1,4.2,1.8737959096740262
answerable,11,11,1,2.909090909090909,1.7580981459830651
ant,11,11,1,4.363636363636363,2.5009089256799126
antagonist,11,11,1,3.6363636363636362,1.9116865471476894
antagonistic,10,10,1,1.8,1.3165611772087666
antagonize,11,11,1,4.454545454545454,2.1148823307047775
antelope,10,10,1,2.7,2.2135943621178655
antenna,12,12,1,3.75,2.0943647333651407
anthem,11,11,1,3.4545454545454546,1.4396969378057567
anthill,11,11,1,3.272727272727273,1.9021518914592015
anthrax,10,12,0.8333333333333334,3.3,2.496664441476534
antibody,10,10,1,2.7,1.70293863659264
antic,15,17,0.8823529411764706,3.2666666666666666,1.4375905768565218
anticipate,11,11,1,3.6363636363636362,2.013590190318143
anticipation,10,10,1,3,1.3333333333333333
anticipative,10,10,1,3.6,2.4129281427805145
anticipatory,11,12,0.9166666666666666,3,1.3416407864998738
antidote,10,10,1,3.1,2.1317702607092643
antifreeze,10,10,1,4.5,1.7159383568311668
antipathy,11,11,1,2.5454545454545454,1.694912172570388
antiquate,12,13,0.9230769230769231,2.0833333333333335,1.164500152881315
antique,10,10,1,3.4,1.776388345929897
antiseptic,10,10,1,3.5,1.9578900207451218
antler,10,11,0.9090909090909091,3,1.5634719199411433
anus,10,10,1,2.8,1.8737959096740262
anxiety,10,10,1,4,1.8257418583505538
anxious,11,11,1,4.454545454545454,1.572490786213793
any,11,11,1,2.727272727272727,2.2843339988236875
anybody,10,10,1,3.7,2.110818693198342
anyone,11,11,1,3.6363636363636362,2.1105794120443453
anything,10,10,1,3.5,2.173067468400883
anyway,10,10,1,2,1.632993161855452
aorta,10,11,0.9090909090909091,3.2,2.043961295567452
apart,9,9,1,3.6666666666666665,1.4142135623730951
apartment,10,10,1,3.6,1.429840705968481
apathetic,11,12,0.9166666666666666,3,1.8973665961010275
apathy,13,16,0.8125,3.230769230769231,1.3634420996046583
ape,10,10,1,3,2
apex,11,11,1,3.6363636363636362,1.9116865471476894
aphid,12,14,0.8571428571428572,2.3333333333333335,1.4354811251305468
aphrodisiac,10,10,1,3.2,1.7511900715418263
apocalypse,11,11,1,4.545454545454546,2.1148823307047775
apolitical,11,11,1,3.1818181818181817,1.834021909257456
apologetic,10,10,1,2.9,1.66332999331662
apologetics,12,12,1,2.3333333333333335,1.6696942198734437
apologize,10,10,1,3.2,2.3944379994757297
